Country,Customer_ID,Description,Invoice_Date,Item_Code,Invoice_ID,No_of_Rows,Unit_Price,Quantity,Sales_Amount
United Kingdom,14475,WOOD S/3 CABINET ANT WHITE FINISH,8/2/2011,82486,543391,1,8.95,2,17.9
United Kingdom,15032,LUNCH BAG RED RETROSPOT,28-03-2011,20725,547947,1,1.65,10,16.5
United Kingdom,14329,CREAM SWEETHEART EGG HOLDER,14-01-2011,22854,541215,1,4.95,8,39.6
United Kingdom,14620,GREEN SQUARE COMPACT MIRROR,18-05-2011,84875B,553660,1,1.25,24,30.0
United Kingdom,15414,RED METAL BEACH SPADE,11/4/2011,21718,549694,1,1.25,2,2.5
United Kingdom,14903,TOILET METAL SIGN,7/4/2011,82581,549261,1,0.55,4,2.2
United Kingdom,16642,UNION STRIPE WITH FRINGE  HAMMOCK,16-05-2011,21922,553343,1,7.95,2,15.9
United Kingdom,12748,WHITE TRAVEL ALARM CLOCK,11/5/2011,84659A,552829,1,2.55,1,2.55
United Kingdom,17841,MISTLETOE HEART WREATH CREAM,6/5/2011,23131,552108,1,4.15,1,4.15
United Kingdom,15416,GREEN REGENCY TEACUP AND SAUCER,2/3/2011,22697,545340,1,2.95,6,17.7
United Kingdom,13013,RED RETROSPOT OVEN GLOVE,28-07-2011,21154,561529,1,1.25,10,12.5
United Kingdom,16643,MULTI COLOUR SILVER T-LIGHT HOLDER,8/4/2011,84945,549301,1,0.85,12,10.2
Germany,12709,20 DOLLY PEGS RETROSPOT,1/3/2011,22567,545295,1,1.25,20,25.0
United Kingdom,14704,ZINC HEARTS PLANT POT HOLDER,20-07-2011,23106,560692,1,2.89,3,8.67
United Kingdom,15367,MINI CAKE STAND T-LIGHT HOLDER,9/3/2011,22893,546116,1,0.42,24,10.08
United Kingdom,18118,CHILDRENS DOLLY GIRL MUG,18-01-2011,22974,541485,1,1.65,1,1.65
United Kingdom,13263,POTTING SHED TEA MUG,19-04-2011,21868,550621,1,1.25,1,1.25
United Kingdom,13001,CHILDRENS APRON SPACEBOY DESIGN,6/5/2011,22367,552061,1,1.95,8,15.6
United Kingdom,16951,SET 6 FOOTBALL CELEBRATION CANDLES,8/2/2011,21125,543470,1,1.25,12,15.0
Japan,12753,CHARLOTTE BAG DOLLY GIRL DESIGN,27-07-2011,22661,561388,1,0.72,100,72.0
United Kingdom,13629,PEG BAG APPLES DESIGN,13-05-2011,22896,553062,1,2.1,50,105.0
Belgium,12431,RED RETROSPOT CHARLOTTE BAG,17-02-2011,20724,544193,1,0.85,10,8.5
United Kingdom,13178,ROUND SNACK BOXES SET OF4 WOODLAND,9/5/2011,22326,552460,1,2.95,12,35.4
United Kingdom,16670,HOT WATER BOTTLE BABUSHKA,11/1/2011,22837,540697,1,4.65,4,18.6
United Kingdom,17673,EASTER CRAFT 4 CHICKS,18-03-2011,22148,546951,1,1.95,1,1.95
United Kingdom,15034,BOX OF VINTAGE ALPHABET BLOCKS,5/1/2011,22622,540248,1,9.95,1,9.95
United Kingdom,15489,GINGERBREAD MAN COOKIE CUTTER,12/5/2011,22966,552961,1,1.25,12,15.0
United Kingdom,16062,CARD DOLLY GIRL,12/4/2011,22712,549851,1,0.42,12,5.04
United Kingdom,17648,RETROSPOT LARGE MILK JUG,31-05-2011,21533,555025,1,4.95,3,14.85
United Kingdom,16701,SET OF 9 BLACK SKULL BALLOONS,11/7/2011,22437,559660,1,0.85,10,8.5
United Kingdom,14711,APPLE BATH SPONGE,3/5/2011,20963,551721,1,1.25,1,1.25
Switzerland,13501,ASSORTED TUTTI FRUTTI MIRROR,24-02-2011,21643,544931,1,1.25,24,30.0
United Kingdom,16918,CARD PSYCHEDELIC APPLES,26-01-2011,22815,542266,1,0.42,12,5.04
United Kingdom,13081,PAPER BUNTING COLOURED LACE,6/5/2011,22088,552039,1,2.95,24,70.8
United Kingdom,12839,CHARLOTTE BAG SUKI DESIGN,25-05-2011,22355,554658,1,0.85,10,8.5
Norway,12350,TEA BAG PLATE RED RETROSPOT,2/2/2011,22348,543037,1,0.85,24,20.4
United Kingdom,16801,BISCUIT TIN VINTAGE RED,11/3/2011,22842,546389,1,6.75,2,13.5
United Kingdom,13110,WHITE HANGING HEART T-LIGHT HOLDER,25-07-2011,85123A,561206,1,2.95,12,35.4
United Kingdom,15874,RED RETROSPOT MUG,6/5/2011,21844,552064,1,2.95,4,11.8
United Kingdom,13089,LOVE BUILDING BLOCK WORD,8/3/2011,21755,545999,1,5.95,6,35.7
United Kingdom,17243,STRIPES DESIGN TEDDY,27-02-2011,84508B,545039,1,2.55,2,5.1
United Kingdom,13468,WOVEN CANDY CUSHION COVER,18-03-2011,46776E,547017,1,4.95,2,9.9
United Kingdom,16729,TRAVEL CARD WALLET PANTRY,9/5/2011,23004,552446,1,0.42,24,10.08
United Kingdom,15078,SET OF 4 KNICK KNACK TINS DOILEY,5/7/2011,23240,558920,1,4.15,6,24.9
United Kingdom,17469,HANGING JAM JAR T-LIGHT HOLDER,5/7/2011,71459,558926,1,0.85,12,10.2
United Kingdom,13668,WATERING CAN GREEN DINOSAUR,11/4/2011,22433,549705,1,1.95,2,3.9
United Kingdom,13971,HANGING SPRING FLOWER EGG LARGE,15-03-2011,85194L,546639,1,0.85,24,20.4
France,12721,EDWARDIAN PARASOL NATURAL,9/2/2011,15056N,543484,1,5.95,3,17.85
France,12726,PACK OF 20 SPACEBOY NAPKINS,28-01-2011,22613,542433,1,0.85,24,20.4
United Kingdom,15544,PINK 3 PIECE POLKADOT CUTLERY SET,11/2/2011,84997D,543652,1,4.15,8,33.2
United Kingdom,14796,CERAMIC CHERRY CAKE MONEY BANK,11/2/2011,22644,543653,1,1.45,4,5.8
United Kingdom,17504,SET OF 6 SPICE TINS PANTRY DESIGN,21-01-2011,22722,541709,1,3.95,4,15.8
United Kingdom,16188,PINK BABY BUNTING,21-07-2011,22668,560885,1,2.95,5,14.75
United Kingdom,18118,HEART OF WICKER LARGE,15-07-2011,22470,560125,1,2.95,2,5.9
United Kingdom,13069,PARTY BUNTING,24-03-2011,47566,547664,1,4.95,1,4.95
United Kingdom,16038,KIDS RAIN MAC PINK,22-05-2011,21789,554075,1,0.85,24,20.4
United Kingdom,16684,MEDIUM CERAMIC TOP STORAGE JAR,18-05-2011,23166,553607,1,1.04,240,249.6
France,12682,LUNCH BAG DOILEY PATTERN,4/7/2011,23209,558813,1,1.65,20,33.0
United Kingdom,14766,PINK NEW BAROQUECANDLESTICK CANDLE,28-03-2011,84625A,547921,1,0.85,24,20.4
United Kingdom,17841,DISCO BALL CHRISTMAS DECORATION,27-04-2011,20668,551250,1,0.12,48,5.76
United Kingdom,17501,COTTON APRON PANTRY DESIGN,3/5/2011,22990,551549,1,4.95,2,9.9
United Kingdom,16655,ALARM CLOCK BAKELIKE GREEN,12/1/2011,22726,540856,1,3.75,4,15.0
United Kingdom,18055,WHITE HANGING HEART T-LIGHT HOLDER,20-05-2011,85123A,553942,1,2.95,24,70.8
Unspecified,14265,WRAP WEDDING DAY,14-07-2011,22709,559929,1,0.42,25,10.5
United Kingdom,17364,PORCELAIN BUTTERFLY OIL BURNER,12/1/2011,18098C,540992,1,2.95,3,8.85
United Kingdom,13583,TRIPLE HOOK ANTIQUE IVORY ROSE,7/7/2011,23146,559202,1,3.29,4,13.16
United Kingdom,12841,PAPER BUNTING WHITE LACE,16-02-2011,22087,544109,1,2.95,14,41.3
United Kingdom,14584,HEN HOUSE DECORATION,25-05-2011,22284,554697,1,1.65,5,8.25
United Kingdom,17126,FOLDING BUTTERFLY MIRROR IVORY,10/7/2011,23282,559542,1,0.83,3,2.49
United Kingdom,13381,GLASS APOTHECARY BOTTLE ELIXIR,15-07-2011,23014,560145,1,3.95,4,15.8
United Kingdom,17841,RED RETROSPOT CHARLOTTE BAG,17-02-2011,20724,544311,1,0.85,1,0.85
United Kingdom,16131,WOODEN CROQUET GARDEN SET,14-04-2011,22605,549995,1,12.75,4,51.0
United Kingdom,17530,FELTCRAFT GIRL NICOLE KIT,20-04-2011,23127,550819,1,4.95,1,4.95
United Kingdom,14573,TOILET METAL SIGN,11/5/2011,82581,552803,1,0.55,6,3.3
United Kingdom,17787,AREA PATROLLED METAL SIGN,8/2/2011,82582,543428,1,2.1,4,8.4
United Kingdom,17758,DOLLY MIXTURE CHILDREN'S UMBRELLA,3/4/2011,20686,548715,1,3.25,4,13.0
United Kingdom,14262,VINTAGE HEADS AND TAILS CARD GAME,5/7/2011,21791,559014,1,1.25,24,30.0
United Kingdom,14649,ANT COPPER PINK BOUDICCA BRACELET,11/5/2011,90161D,552847,1,4.95,3,14.85
Cyprus,12370,LANTERN CREAM GAZEBO,10/3/2011,22784,546236,1,4.95,6,29.7
United Kingdom,13018,CERAMIC CHERRY CAKE MONEY BANK,17-04-2011,22644,550342,1,1.45,12,17.4
United Kingdom,17126,PARTY INVITES SPACEMAN,13-02-2011,21062,543803,1,0.85,2,1.7
United Kingdom,13451,ICE CREAM DESIGN GARDEN PARASOL,12/5/2011,15058C,553014,1,7.95,1,7.95
United Kingdom,14854,WOODEN SCHOOL COLOURING SET,10/3/2011,22561,546223,1,1.65,12,19.8
United Kingdom,14849,REGENCY CAKESTAND 3 TIER,10/5/2011,22423,552614,1,12.75,6,76.5
United Kingdom,16076,NO JUNK MAIL METAL SIGN,28-07-2011,21179,561610,1,0.39,24,9.36
United Kingdom,13458,PINK HAPPY BIRTHDAY BUNTING,6/1/2011,47590B,540268,1,5.45,3,16.35
United Kingdom,15311,DRAWER KNOB CERAMIC RED,19-07-2011,23033,560552,1,1.25,96,120.0
United Kingdom,17537,PURPLE SWEETHEART BRACELET,9/2/2011,90200A,543535,1,4.25,2,8.5
United Kingdom,17625,FAMILY PHOTO FRAME CORNICE,22-07-2011,22768,560996,1,9.95,1,9.95
United Kingdom,14311,LOVEBIRD HANGING DECORATION WHITE,11/4/2011,22219,549592,1,0.85,12,10.2
Australia,12415,PANTRY SCRUBBING BRUSH,3/3/2011,22980,545475,1,1.45,144,208.8
United Kingdom,17158,WELCOME  WOODEN BLOCK LETTERS,21-04-2011,22120,550826,1,9.95,3,29.85
United Kingdom,12868,GREEN REGENCY TEACUP AND SAUCER,27-01-2011,22697,542389,1,2.95,6,17.7
United Kingdom,16185,PICNIC BASKET WICKER SMALL,21-04-2011,22502,550885,1,5.95,4,23.8
United Kingdom,16043,LARGE DECO JEWELLERY STAND,12/5/2011,23065,552972,1,12.5,1,12.5
United Kingdom,13488,RED KITCHEN SCALES,4/2/2011,22625,543166,1,8.5,2,17.0
United Kingdom,17837,CHILDS BREAKFAST SET SPACEBOY,14-07-2011,22634,560103,1,9.95,2,19.9
Germany,12480,SWEETHEART CERAMIC TRINKET BOX,17-03-2011,21231,546851,1,1.25,12,15.0
United Kingdom,16550,FRYING PAN UNION FLAG,18-04-2011,22207,550464,1,4.25,2,8.5
United Kingdom,12921,PINK POLKADOT BOWL,4/7/2011,20677,558879,1,1.25,8,10.0
United Kingdom,13680,LADIES & GENTLEMEN METAL SIGN,4/1/2011,85150,540033,1,2.55,12,30.6
United Kingdom,16647,SWEETHEART RECIPE BOOK STAND,19-05-2011,22795,553740,1,6.75,2,13.5
United Kingdom,14755,CREAM HEART CARD HOLDER,28-03-2011,22189,547883,1,3.95,4,15.8
United Kingdom,17682,LUNCH BAG PINK POLKADOT,6/4/2011,22384,549052,1,1.65,10,16.5
United Kingdom,15039,SMALL POPCORN HOLDER,9/5/2011,22197,552333,1,0.85,12,10.2
United Kingdom,18172,SET OF 4 PANTRY JELLY MOULDS,23-02-2011,22993,544792,1,1.25,12,15.0
United Kingdom,17611,3 PIECE SPACEBOY COOKIE CUTTER SET,13-03-2011,22964,546429,1,2.1,1,2.1
United Kingdom,13148,5 HOOK HANGER RED MAGIC TOADSTOOL,30-01-2011,22243,542607,1,1.65,2,3.3
United Kingdom,15078,JUMBO BAG TOYS,24-01-2011,20711,541977,1,1.95,10,19.5
United Kingdom,14854,"KEY FOB , SHED",26-04-2011,21900,551085,1,0.65,24,15.6
United Kingdom,15039,BLUE SPOT CERAMIC DRAWER KNOB,8/7/2011,21670,559401,1,1.25,3,3.75
United Kingdom,13993,RED RETROSPOT ROUND CAKE TINS,23-02-2011,21217,544789,1,9.95,1,9.95
United Kingdom,18125,WORLD WAR 2 GLIDERS ASSTD DESIGNS,27-01-2011,84077,542393,1,0.29,48,13.92
United Kingdom,16393,LUNCH BAG ALPHABET DESIGN,20-07-2011,23207,560688,1,1.65,6,9.9
United Kingdom,16456,POTTERING IN THE SHED METAL SIGN,6/2/2011,21174,543273,1,2.08,1,2.08
United Kingdom,17428,RED RETROSPOT SMALL MILK JUG,29-03-2011,21535,547987,1,2.55,6,15.3
Germany,12481,OVEN MITT APPLES DESIGN,7/1/2011,22897,540414,1,1.45,20,29.0
Germany,12654,WATERING CAN PINK BUNNY,17-02-2011,22432,544302,1,1.95,6,11.7
United Kingdom,13118,CERAMIC CAKE DESIGN SPOTTED PLATE,31-03-2011,37447,548545,1,1.49,16,23.84
United Kingdom,14012,PARTY BUNTING,7/3/2011,47566,545815,1,4.95,8,39.6
United Kingdom,13680,RED RETROSPOT WRAP,4/1/2011,21498,540033,1,0.42,25,10.5
United Kingdom,14713,LUNCH BAG SUKI DESIGN,17-03-2011,22383,546790,1,1.65,3,4.95
United Kingdom,15421,JUMBO BAG DOILEY PATTERNS,8/5/2011,23203,552292,1,2.08,10,20.8
Germany,12477,DOORMAT MULTICOLOUR STRIPE,14-04-2011,48116,550137,1,7.95,2,15.9
United Kingdom,17625,WOODEN HAPPY BIRTHDAY GARLAND,27-03-2011,21380,547860,1,2.95,2,5.9
United Kingdom,17340,WOOD BLACK BOARD ANT WHITE FINISH,11/7/2011,82484,559676,1,6.75,12,81.0
United Kingdom,14163,TRIPLE HOOK ANTIQUE IVORY ROSE,24-05-2011,23146,554503,1,3.29,4,13.16
United Kingdom,15910,GINGERBREAD MAN COOKIE CUTTER,7/4/2011,22966,549240,1,1.25,4,5.0
United Kingdom,13268,CANDY SHOP  STICKER SHEET,30-03-2011,21721,548388,1,0.85,5,4.25
United Kingdom,14235,HEART OF WICKER SMALL,5/7/2011,22469,558963,1,1.45,80,116.0
United Kingdom,15506,TRAVEL CARD WALLET VINTAGE TICKET,24-07-2011,22996,561034,1,0.42,2,0.84
United Kingdom,14659,SKULLS WRITING SET,17-07-2011,21327,560250,1,1.65,5,8.25
United Kingdom,14796,FAIRY CAKES NOTEBOOK A6 SIZE,15-04-2011,84535B,550196,1,0.65,32,20.8
United Kingdom,15529,BOYS VINTAGE TIN SEASIDE BUCKET,25-03-2011,21716,547729,1,2.55,6,15.3
United Kingdom,13626,SET OF 12  VINTAGE POSTCARD SET,1/4/2011,85015,548558,1,2.55,6,15.3
Netherlands,14646,CARD WEDDING DAY,14-01-2011,22715,541206,1,0.36,72,25.92
United Kingdom,15408,RED HANGING HEART T-LIGHT HOLDER,20-03-2011,21733,547079,1,2.95,2,5.9
United Kingdom,14903,ROSES REGENCY TEACUP AND SAUCER,7/4/2011,22699,549261,1,2.95,5,14.75
Austria,12453,MEASURING TAPE BABUSHKA BLUE,28-07-2011,22453,561627,1,2.95,6,17.7
Germany,12530,PINK POLKADOT CHILDRENS UMBRELLA,7/1/2011,20681,540410,1,3.25,6,19.5
United Kingdom,17841,SET/4 SPRING FLOWER DECORATION,28-03-2011,21382,547896,1,2.95,1,2.95
United Kingdom,13305,PINK CREAM FELT CRAFT TRINKET BOX,8/4/2011,20972,549467,1,1.25,12,15.0
United Kingdom,17863,EIGHT PIECE SNAKE  SET,2/2/2011,21828,542928,1,1.25,12,15.0
United Kingdom,16216,FAMILY ALBUM WHITE PICTURE FRAME,17-03-2011,22169,546862,1,8.5,2,17.0
United Kingdom,13707,HOMEMADE JAM SCENTED CANDLES,28-01-2011,22969,542534,1,1.45,12,17.4
United Kingdom,15601,COLOUR GLASS T-LIGHT HOLDER HANGING,7/1/2011,84755,540471,1,0.65,16,10.4
United Kingdom,13735,EASTER TIN BUNNY BOUQUET,19-04-2011,22859,550622,1,1.65,6,9.9
United Kingdom,13610,SET OF 12 MINI LOAF BAKING CASES,17-07-2011,23295,560278,1,0.83,1,0.83
United Kingdom,14722,DOORMAT UNION FLAG,15-07-2011,48138,560212,1,7.95,1,7.95
United Kingdom,13102,TRAVEL CARD WALLET I LOVE LONDON,29-07-2011,23005,561701,1,0.42,24,10.08
United Kingdom,12840,FLOWER VINE RAFFIA FOOD COVER,19-07-2011,21470,560448,1,3.75,6,22.5
United Kingdom,14364,RED RETROSPOT MINI CASES,12/5/2011,20750,552962,1,7.95,2,15.9
United Kingdom,17686,SMALL PARISIENNE HEART PHOTO FRAME,23-05-2011,23093,554283,1,2.49,8,19.92
United Kingdom,15555,WOODEN PICTURE FRAME WHITE FINISH,17-04-2011,82482,550331,1,2.55,4,10.2
United Kingdom,13081,SET OF 3 HEART COOKIE CUTTERS,6/5/2011,84378,552039,1,1.25,12,15.0
United Kingdom,17735,SET OF 12 FAIRY CAKE BAKING CASES,19-07-2011,23293,560571,1,0.83,8,6.64
United Kingdom,12748,BINGO SET,1/7/2011,21888,558702,1,3.75,1,3.75
United Kingdom,15856,AREA PATROLLED METAL SIGN,11/7/2011,82582,559674,1,2.1,6,12.6
Portugal,12757,SET/3 RED GINGHAM ROSE STORAGE BOX,12/5/2011,21430,553017,1,3.75,2,7.5
United Kingdom,17265,JUMBO BAG APPLES,24-07-2011,23199,561026,1,2.08,3,6.24
United Kingdom,13050,PAPER BUNTING WHITE LACE,23-01-2011,22087,541846,1,2.95,6,17.7
United Kingdom,14298,BATHROOM METAL SIGN,28-04-2011,21171,551351,1,1.25,24,30.0
United Kingdom,16912,COTTON APRON PANTRY DESIGN,22-02-2011,22990,544610,1,4.95,4,19.8
United Kingdom,16455,FELTCRAFT CUSHION BUTTERFLY,29-03-2011,22569,547985,1,3.75,8,30.0
United Kingdom,16253,SMALL YELLOW BABUSHKA NOTEBOOK,29-03-2011,22753,548160,1,0.85,24,20.4
United Kingdom,16059,HERB MARKER PARSLEY,16-01-2011,22918,541260,1,0.65,4,2.6
United Kingdom,13875,RED RETROSPOT CHARLOTTE BAG,11/2/2011,20724,543770,1,0.85,10,8.5
United Kingdom,16241,SILVER FISHING GNOME,4/1/2011,21129,540098,1,6.95,1,6.95
United Kingdom,14770,CARD SUKI BIRTHDAY,21-04-2011,22817,550921,1,0.42,12,5.04
Canada,17444,TRADITIONAL WOODEN CATCH CUP GAME,11/7/2011,21892,559557,1,1.25,12,15.0
United Kingdom,15241,DELUXE SEWING KIT,1/3/2011,22654,545238,1,5.95,3,17.85
United Kingdom,17696,SET/4 RED MINI ROSE CANDLE IN BOWL,7/3/2011,85039A,545826,1,1.65,12,19.8
United Kingdom,17841,SET/10 IVORY POLKADOT PARTY CANDLES,12/7/2011,21123,559807,1,1.25,1,1.25
United Kingdom,14573,RECIPE BOX BLUE SKETCHBOOK DESIGN,27-03-2011,22665,547877,1,2.95,1,2.95
United Kingdom,15799,LOVE GARLAND PAINTED ZINC,9/1/2011,22341,540541,1,1.65,12,19.8
United Kingdom,13357,HOME SWEET HOME METAL SIGN,27-03-2011,21164,547867,1,2.95,3,8.85
United Kingdom,17179,RIBBON REEL STRIPES DESIGN,21-04-2011,22082,550956,1,1.65,2,3.3
Belgium,12431,60 CAKE CASES DOLLY GIRL DESIGN,17-02-2011,22951,544193,1,0.55,24,13.2
United Kingdom,16940,RED RETROSPOT BOWL,23-02-2011,20676,544790,1,1.25,8,10.0
United Kingdom,13334,S/12 MINI RABBIT EASTER,7/2/2011,85187,543300,1,1.65,3,4.95
Unspecified,12743,6 RIBBONS EMPIRE,28-07-2011,22076,561661,1,1.65,3,4.95
United Kingdom,15521,WRAP VINTAGE LEAF DESIGN,14-07-2011,23232,560079,1,0.42,25,10.5
United Kingdom,17058,LOVE BUILDING BLOCK WORD,14-04-2011,21755,550000,1,5.95,3,17.85
United Kingdom,14606,MAGIC DRAWING SLATE GO TO THE FAIR,21-03-2011,22529,547199,1,0.42,1,0.42
United Kingdom,13089,NATURAL SLATE CHALKBOARD LARGE,3/5/2011,22456,551650,1,4.95,12,59.4
United Kingdom,16218,LUNCH BAG CARS BLUE,24-07-2011,20728,561046,1,1.65,40,66.0
Japan,12754,EMERGENCY FIRST AID TIN,4/2/2011,22494,543179,1,1.25,1,1.25
United Kingdom,15023,IVORY GIANT GARDEN THERMOMETER,8/3/2011,22926,545995,1,5.95,3,17.85
United Kingdom,16012,JAM MAKING SET PRINTED,7/7/2011,22961,559354,1,1.45,12,17.4
Germany,12474,WATERING CAN BLUE ELEPHANT,18-03-2011,22431,547005,1,1.95,6,11.7
United Kingdom,14298,CHOCOLATE THIS WAY METAL SIGN,21-07-2011,21908,560841,1,1.85,12,22.2
United Kingdom,17961,DOORSTOP RETROSPOT HEART,17-03-2011,22508,546898,1,3.75,1,3.75
United Kingdom,14506,DOORMAT NEW ENGLAND,1/3/2011,48187,545302,1,7.95,1,7.95
United Kingdom,15910,SMALL POPCORN HOLDER,16-05-2011,22197,553388,1,0.85,4,3.4
United Kingdom,14733,WOOD BLACK BOARD ANT WHITE FINISH,11/1/2011,82484,540834,1,5.55,12,66.6
United Kingdom,12748,JUMBO BAG VINTAGE LEAF,1/7/2011,23202,558708,1,2.08,2,4.16
United Kingdom,13338,PACK OF 12 BLUE PAISLEY TISSUES,5/7/2011,21983,558908,1,0.29,24,6.96
United Kingdom,12921,SET/6 RED SPOTTY PAPER CUPS,25-02-2011,21086,545023,1,0.65,12,7.8
United Kingdom,12987,COLOUR GLASS T-LIGHT HOLDER HANGING,26-05-2011,84755,554788,1,0.65,16,10.4
United Kingdom,12921,LUNCH BAG CARS BLUE,25-02-2011,20728,545023,1,1.65,10,16.5
United Kingdom,13081,ROBOT BIRTHDAY CARD,6/5/2011,22037,552039,1,0.42,12,5.04
United Kingdom,17725,BUNNY EGG GARLAND,4/4/2011,85186C,548744,1,0.42,24,10.08
United Kingdom,17146,CREAM CUPID HEARTS COAT HANGER,21-03-2011,84406B,547203,1,4.15,4,16.6
United Kingdom,18041,TRADITIONAL MODELLING CLAY,23-02-2011,22560,544700,1,1.25,9,11.25
United Kingdom,15218,DOORMAT HOME SWEET HOME BLUE,25-07-2011,22690,561109,1,6.75,10,67.5
United Kingdom,13827, SPACEBOY BABY GIFT SET,29-07-2011,23007,561710,1,16.95,1,16.95
Germany,12477,RED STRIPE CERAMIC DRAWER KNOB,11/2/2011,21668,543737,1,1.25,12,15.0
United Kingdom,17739,HOT WATER BOTTLE I AM SO POORLY,10/1/2011,22835,540671,1,4.65,12,55.8
United Kingdom,13458,ENCHANTED BIRD COATHANGER 5 HOOK,6/1/2011,84792,540268,1,4.65,8,37.2
United Kingdom,13263,CHILDS GARDEN FORK PINK,12/5/2011,22523,553002,1,0.85,2,1.7
France,12682,TABLECLOTH RED APPLES DESIGN,1/2/2011,22894,542904,1,8.5,2,17.0
United Kingdom,16054,SET 2 PANTRY DESIGN TEA TOWELS,17-07-2011,22989,560255,1,3.25,1,3.25
